genotype,date,temp,food,pheromone,neuron,cell.ID,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,notes,line,rescaledASI,medianASI,medianASJ,rescaledASJ
N2,12_1_16,20,OP50,0,ASJ,1618,daf28GFP_WT_20-08.czi:z:4/17 - daf28GFP_WT_20-08.czi #1,0.765,1405.808,1386,1249,1480,1075.69,1416,102624,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1619,daf28GFP_WT_20-08.czi:z:13/17 - daf28GFP_WT_20-08.czi #1,0.65,725.435,725,680,765,471.443,727,44977,,,,,,
N2,12_1_16,20,OP50,0,ASI,1620,daf28GFP_WT_20-07.czi:z:8/20 - daf28GFP_WT_20-07.czi #1,0.933,846.157,824,650,936,789.368,872,75308,,,,,,
N2,12_1_16,20,OP50,0,ASI,1621,daf28GFP_WT_20-07.czi:z:14/20 - daf28GFP_WT_20-07.czi #1,0.566,809.352,837,740,849,458.11,816,43705,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1622,daf28GFP_WT_20-07.czi:z:7/20 - daf28GFP_WT_20-07.czi #1,0.618,1495.203,1459,1420,1549,924.678,1495,88217,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1623,daf28GFP_WT_20-07.czi:z:13/20 - daf28GFP_WT_20-07.czi #1,0.482,1299.109,1281,1240,1360,626.385,1299,59759,,,,,,
N2,12_1_16,20,OP50,0,ASI,1624,daf28GFP_WT_20-06.czi:z:15/20 - daf28GFP_WT_20-06.czi #1,0.66,654.937,671,584,708,432.492,659,41261,,,,,,
N2,12_1_16,20,OP50,0,ASI,1625,daf28GFP_WT_20-06.czi:z:8/20 - daf28GFP_WT_20-06.czi #1,0.996,828.789,847,782,881,825.289,829,78735,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1626,daf28GFP_WT_20-06.czi:z:15/20 - daf28GFP_WT_20-06.czi #1,0.587,969.786,972,917,1003,569.249,975,54308,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1627,daf28GFP_WT_20-06.czi:z:7/20 - daf28GFP_WT_20-06.czi #1,0.608,1163.121,1131,1062,1208,707.117,1166,67461,,,,,,
N2,12_1_16,20,OP50,0,ASI,1628,daf28GFP_WT_20-05.czi:z:6/17 - daf28GFP_WT_20-05.czi #1,1.027,1032.429,1022,954,1116,1060.534,1034,101178,,,,,,
N2,12_1_16,20,OP50,0,ASI,1629,daf28GFP_WT_20-05.czi:z:8/17 - daf28GFP_WT_20-05.czi #1,1.006,853.104,841,773,941,858.443,851,81898,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1630,daf28GFP_WT_20-05.czi:z:6/17 - daf28GFP_WT_20-05.czi #1,0.87,1178.072,1197,1056,1247,1024.916,1184,97780,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1631,daf28GFP_WT_20-05.czi:z:14/17 - daf28GFP_WT_20-05.czi #1,1.73,796.952,794,713,857,1378.333,798,131497,,,,,,
N2,12_1_16,20,OP50,0,ASI,1632,daf28GFP_WT_20-04.czi:z:9/20 - daf28GFP_WT_20-04.czi #1,1.405,1876.463,1917,1689,2019,2635.622,1895,251446,,,,,,
N2,12_1_16,20,OP50,0,ASI,1633,daf28GFP_WT_20-04.czi:z:12/20 - daf28GFP_WT_20-04.czi #1,0.797,1898.25,1893,1681,2033,1512.186,1920,144267,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1634,daf28GFP_WT_20-04.czi:z:9/20 - daf28GFP_WT_20-04.czi #1,0.325,1604.806,1587,1523,1667,521.462,1605,49749,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1635,daf28GFP_WT_20-04.czi:z:18/20 - daf28GFP_WT_20-04.czi #1,0.356,1237.853,1255,1199,1273,441.15,1245,42087,,,,,,
N2,12_1_16,20,OP50,0,ASI,1636,daf28GFP_WT_20-03.czi:z:13/19 - daf28GFP_WT_20-03.czi #1,0.954,1407.626,1295,1244,1535,1342.663,1405,128094,,,,,,
N2,12_1_16,20,OP50,0,ASI,1637,daf28GFP_WT_20-03.czi:z:4/19 - daf28GFP_WT_20-03.czi #1,0.954,1332.418,1351,1256,1387,1270.925,1336,121250,,,,,,
